SL,Ticket No,Client Name,SCR ID,To Address,From Site ID:,To Site ID:,Capacity,Fault Type,Fault Raised By,System Fault Date & Time,Notification Date & Time,Root Cause(L-1),Root Cause(L-2),Root Cause(L-3),RestorationSystem Date,Restoration Date,TTOpenBy,TTClosedBy,Outage due to,Restoration Confirm by
79,20171112163107,1 Asia Alliance Communication Limited,9010,"Colo Asia Brock Tower Poribag, Dhaka","-Alliance Building, 63/A Pragati Sarani, Shahajadpur, Baridhara, Dhaka-1212","-Colo Asia Brock Tower Poribag, Dhaka",,Down-Link-Link,Sumaiya Mousumi,2017-11-12 10:54:50,2017-11-12 11:07:14,,U/G Fiber Cut,U/G Fiber Cut,2017-11-12 20:24:24,2017-11-12 20:20:34,Tanzia.nahar,Ashiqur,F@H End Problem,partha
80,20171112163013,1 Asia Alliance Communication Limited,12548,"Coloasia,Borak Tower common POI","-1Asia HQ, Alliance Building progoti shoroni","-Coloasia,Borak Tower common POI",,Down-Link-Link,NOC 1AsiaAlliance,2017-11-12 09:26:20,2017-11-12 09:39:32,,U/G Fiber Cut,U/G Fiber Cut,2017-11-12 20:23:53,2017-11-12 20:20:59,Tanzia.nahar,Ashiqur,F@H End Problem,Partha
81,20171027160190,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Down-Link-Link,Partha Pratim Das,2017-10-27 19:41:12,2017-10-27 19:49:31,Client,Others,Not Shared,2017-10-28 22:07:22,2017-10-28 22:19:57,Tanwi.biswas,Biswajit.kumar,Client End Problem,Partha Pratim Da
82,20171026160009,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Down-Link-Link,NOC,2017-10-26 15:28:02,2017-10-26 15:40:13,,Client End Problem,Client End Problem (Others),2017-10-26 22:15:31,2017-10-26 22:28:03,Khalid,Amran.hossen,Client End Problem,NOC
83,20171010156596,1 Asia Alliance Communication Limited,14728,"Coloasia,Borak Tower",-1Asia HQ,"-Coloasia,Borak Tower",,Down-Link-Link,Sumaiya Mousumi,2017-10-10 11:56:43,2017-10-10 12:08:22,Passive,Faulty,Patch Cord Faulty - CO,2017-10-11 13:35:12,2017-10-11 12:57:38,Tanzia.nahar,Tanzia.nahar,F@H End Problem,shuvo
84,20171008156085,1 Asia Alliance Communication Limited,dhaka to benapole,benapole,-,-benapole,,Down-Site-GE,mssd,2017-10-08 10:40:40,2017-10-08 10:50:22,,Client End Problem,Client End Problem (Others),2017-10-08 10:49:33,2017-10-08 11:01:11,Shad.uddin,Shad.uddin,Client End Problem,
85,20171002154705,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Down-Link-Link,Sumaiya Mousumi,2017-10-02 09:04:05,2017-10-02 09:15:24,,Client End Problem,Client End Problem (Fiber Cut),2017-10-02 18:24:28,2017-10-02 09:53:46,Tanzia.nahar,Saikat.roy,Client End Problem,
86,20170919152516,1 Asia Alliance Communication Limited,16324,"Mango building, Mohakhali.",-1 Asia HQ (Connected),"-Mango building, Mohakhali.",,Down-Link-Link,Md. Selinur Rahman,2017-09-19 22:23:07,2017-09-19 22:18:35,,U/G Fiber Cut,U/G Fiber Cut,2017-09-20 05:29:11,2017-09-20 04:30:56,Amran.hossen,Amran.hossen,F@H End Problem,S.M.Rifatuzzaman
87,20170919152406,1 Asia Alliance Communication Limited,12548,"Coloasia,Borak Tower common POI","-1Asia HQ, Alliance Building progoti shoroni","-Coloasia,Borak Tower common POI",,Down-Link-Link,1Asia,2017-09-19 14:14:06,2017-09-19 14:19:53,,U/G Fiber Cut,U/G Fiber Cut,2017-09-20 05:27:26,2017-09-20 04:30:48,Biswajit.kumar,Amran.hossen,F@H End Problem,S.M.Rifatuzzaman
88,20170916151559,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Down-Link-Link,S.M.Rifatuzzaman,2017-09-16 09:30:18,2017-09-16 09:27:32,,Client End Problem,Client End Problem (Fiber Cut),2017-09-17 09:28:47,2017-09-17 09:39:32,Tanzia.nahar,Chhanda,Client End Problem,
