Fault Type,System Fault Date & Time,Notification Date & Time,Root Cause(L-1),Root Cause(L-2),Root Cause(L-3),RestorationSystem Date,Restoration Date,Outage due to,Time to Acknowledge,Time to Resolve
Fluctuation-Link-Link,2020-02-13 08:44:13,2020-02-13 08:26:49,,Client End Problem,Client End Problem (Fiber Cut),2020-02-13 10:45:51,2020-02-13 09:59:41,Client End Problem,-17.4,75.46666666666667
Down-Link-Link,2019-11-15 15:50:14,2019-11-15 15:50:19,,Maintenance Work,Maintenance Work (F@H),2019-11-16 07:19:31,2019-11-16 07:13:21,F@H End Problem,0.08333333333333333,923.1166666666667
Down-Link-Link,2019-10-04 19:26:37,2019-10-04 19:26:42,,Client End Problem,Client End Problem (Others),2019-10-06 16:03:33,2019-10-04 20:28:00,Client End Problem,0.08333333333333333,61.38333333333333
Down-Link-Link,2019-10-03 11:19:22,2019-10-03 11:19:23,,Core Break,Core Break (LDP/BDB),2019-10-03 15:39:05,2019-10-03 15:24:47,F@H End Problem,0.016666666666666666,245.41666666666666
Down-Link-Link,2019-10-03 10:35:13,2019-10-03 10:35:17,,Client End Problem,Client End Problem (Others),2019-10-03 15:49:21,2019-10-03 15:25:36,Client End Problem,0.06666666666666667,290.3833333333333
High Loss-High Loss-Link,2019-07-24 14:11:01,2019-07-24 14:09:11,Passive,Faulty,Patch Cord Faulty - CO,2019-07-26 16:21:23,2019-07-26 16:18:00,F@H End Problem,-1.8333333333333333,3006.983333333333
Quality Issue-Bandwidth Problem-Bandwidth problem,2019-06-26 15:57:28,2019-06-26 15:57:34,,Client End Problem,Client End Problem (Others),2019-06-27 12:05:30,2019-06-27 12:07:19,Client End Problem,0.1,1209.85
Down-Link-Link,2019-05-27 12:13:00,2019-05-27 12:13:03,Passive,Faulty,Patch Cord Cut - LDP/BDB,2019-05-27 14:44:08,2019-05-27 14:42:41,F@H End Problem,0.05,149.68333333333334
Down-Link-Link,2019-05-11 04:47:52,2019-05-11 04:47:59,Passive,Faulty,Patch Cord Faulty - CO,2019-05-12 12:36:55,2019-05-12 07:19:07,F@H End Problem,0.11666666666666667,1591.25
Down-Link-Link,2019-05-09 17:53:23,2019-05-09 17:53:27,Client,Wrong Complaint,Wrong Complaint,2019-05-11 04:46:11,2019-05-11 04:47:35,Client End Problem,0.06666666666666667,2094.2
Down-Link-Link,2019-05-09 14:43:00,2019-05-09 14:43:01,,U/G Fiber Cut,U/G Fiber Cut,2019-05-10 22:06:32,2019-05-10 04:10:44,F@H End Problem,0.016666666666666666,807.7333333333333
Down-Link-Link,2019-04-18 10:52:59,2019-04-18 10:43:36,,Power Problem,Power Problem (CO/RO),2019-04-18 12:21:50,2019-04-18 11:23:03,F@H End Problem,-9.383333333333333,30.066666666666666
Down-Link-Link,2019-04-06 18:02:00,2019-04-06 18:02:01,Client,Others,Not Shared,2019-04-06 19:12:18,2019-04-06 19:13:25,Client End Problem,0.016666666666666666,71.41666666666667
Down-Link-Link,2019-02-24 13:36:42,2019-02-24 13:27:18,,Client End Problem,Client End Problem (Others),2019-02-24 14:43:47,2019-02-24 13:37:15,Client End Problem,-9.4,0.55
Down-Link-Link,2019-02-21 09:15:36,2019-02-21 09:15:40,,Core Break,Core Break (LDP/BDB),2019-02-21 20:16:11,2019-02-21 18:00:53,F@H End Problem,0.06666666666666667,525.2833333333333
Down-Link-Link,2019-01-07 09:06:08,2019-01-07 09:02:04,,O/H Fiber Cut,O/H Fiber Cut,2019-01-07 12:06:30,2019-01-07 09:57:42,F@H End Problem,-4.066666666666666,51.56666666666667
Down-Link-Link,2018-11-23 22:27:08,2018-11-23 22:27:09,,Client End Problem,Client End Problem (Others),2018-11-25 10:13:20,2018-11-24 23:45:13,Client End Problem,0.016666666666666666,1518.0833333333333
Down-Link-Link,2018-11-15 15:05:01,2018-11-15 15:05:01,,Client End Problem,Client End Problem (Fiber Cut),2018-11-18 11:12:31,2018-11-18 11:12:28,Client End Problem,0.0,4087.45
Down-Link-Link,2018-11-01 11:18:33,2018-11-01 11:18:11,,Logical Problem,Logical Problem (Others),2018-11-04 17:00:37,2018-11-04 13:30:09,F@H End Problem,-0.36666666666666664,4451.6
Down-Link-Link,2018-10-30 15:04:43,2018-10-30 15:02:12,Client,Others,Not Shared,2018-11-01 10:31:49,2018-11-01 10:32:09,Client End Problem,-2.5166666666666666,2607.4333333333334
